RH,timestamp
63.775,2012-02-18T00:00:00Z
64.265,2012-02-18T01:00:00Z
63.991,2012-02-18T02:00:00Z
64.087,2012-02-18T03:00:00Z
64.351,2012-02-18T04:00:00Z
64.646,2012-02-18T05:00:00Z
64.853,2012-02-18T06:00:00Z
65.035,2012-02-18T07:00:00Z
65.194,2012-02-18T08:00:00Z
65.32,2012-02-18T09:00:00Z
65.787,2012-02-18T10:00:00Z
65.681,2012-02-18T11:00:00Z
65.653,2012-02-18T12:00:00Z
65.985,2012-02-18T13:00:00Z
65.977,2012-02-18T14:00:00Z
66.198,2012-02-18T15:00:00Z
65.747,2012-02-18T16:00:00Z
66.208,2012-02-18T17:00:00Z
66.59,2012-02-18T18:00:00Z
66.576,2012-02-18T19:00:00Z
66.705,2012-02-18T20:00:00Z
66.55,2012-02-18T21:00:00Z
66.541,2012-02-18T22:00:00Z
66.528,2012-02-18T23:00:00Z
66.515,2012-02-19T00:00:00Z
66.47,2012-02-19T01:00:00Z
66.457,2012-02-19T02:00:00Z
66.389,2012-02-19T03:00:00Z
66.321,2012-02-19T04:00:00Z
66.142,2012-02-19T05:00:00Z
66.239,2012-02-19T06:00:00Z
66.002,2012-02-19T07:00:00Z
65.823,2012-02-19T08:00:00Z
65.759,2012-02-19T09:00:00Z
66.065,2012-02-19T10:00:00Z
66.1,2012-02-19T11:00:00Z
66.204,2012-02-19T12:00:00Z
66.173,2012-02-19T13:00:00Z
66.111,2012-02-19T14:00:00Z
65.975,2012-02-19T15:00:00Z
65.835,2012-02-19T16:00:00Z
65.651,2012-02-19T17:00:00Z
65.764,2012-02-19T18:00:00Z
66.24,2012-02-19T19:00:00Z
66.471,2012-02-19T20:00:00Z
66.394,2012-02-19T21:00:00Z
66.376,2012-02-19T22:00:00Z
66.464,2012-02-19T23:00:00Z
66.392,2012-02-20T00:00:00Z
66.48,2012-02-20T01:00:00Z
66.38,2012-02-20T02:00:00Z
66.468,2012-02-20T03:00:00Z
66.423,2012-02-20T04:00:00Z
66.291,2012-02-20T05:00:00Z
66.296,2012-02-20T06:00:00Z
66.027,2012-02-20T07:00:00Z
66.229,2012-02-20T08:00:00Z
64.605,2012-02-20T09:00:00Z
63.877,2012-02-20T10:00:00Z
63.937,2012-02-20T11:00:00Z
64.0,2012-02-20T12:00:00Z
63.914,2012-02-20T13:00:00Z
63.353,2012-02-20T14:00:00Z
62.106,2012-02-20T15:00:00Z
63.365,2012-02-20T16:00:00Z
63.84,2012-02-20T17:00:00Z
64.273,2012-02-20T18:00:00Z
64.315,2012-02-20T19:00:00Z
64.474,2012-02-20T20:00:00Z
64.771,2012-02-20T21:00:00Z
64.853,2012-02-20T22:00:00Z
65.217,2012-02-20T23:00:00Z
65.497,2012-02-21T00:00:00Z
65.392,2012-02-21T01:00:00Z
65.343,2012-02-21T02:00:00Z
65.321,2012-02-21T03:00:00Z
65.391,2012-02-21T04:00:00Z
65.374,2012-02-21T05:00:00Z
65.278,2012-02-21T06:00:00Z
65.265,2012-02-21T07:00:00Z
65.307,2012-02-21T08:00:00Z
65.271,2012-02-21T09:00:00Z
65.211,2012-02-21T10:00:00Z
65.592,2012-02-21T11:00:00Z
65.803,2012-02-21T12:00:00Z
65.88,2012-02-21T13:00:00Z
65.929,2012-02-21T14:00:00Z
66.277,2012-02-21T15:00:00Z
66.31,2012-02-21T16:00:00Z
66.019,2012-02-21T17:00:00Z
65.993,2012-02-21T18:00:00Z
66.476,2012-02-21T19:00:00Z
